top - 14:22:42 up  4:22,  1 user,  load average: 0.25, 0.55, 0.54
Threads: 1583 total,   1 running, 1578 sleeping,   4 stopped,   0 zombie
%Cpu(s):  1.3 us,  1.3 sy,  0.0 ni, 97.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7756.4 total,    264.6 free,   5050.0 used,   2441.8 buff/cache
MiB Swap:   8192.0 total,   6901.3 free,   1290.7 used.   1479.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1858 sahilch+  -6   0 2818944  15552   8408 S   0.0   0.2   0:00.00 alsa-so+
   1781 sahilch+  20   0   10668   4276   1832 S   0.0   0.1   0:02.94 dbus-da+
   1788 sahilch+  20   0  249288   2468   1888 S   0.0   0.0   0:00.04 gvfsd
   1790 sahilch+  20   0  249288   2468   1888 S   0.0   0.0   0:00.00 gmain
   1791 sahilch+  20   0  249288   2468   1888 S   0.0   0.0   0:00.05 gdbus
   1797 sahilch+  20   0  380884   1856   1480 S   0.0   0.0   0:00.00 gvfsd-f+
   1805 sahilch+  20   0  380884   1856   1480 S   0.0   0.0   0:00.00 gvfsd-f+
   1806 sahilch+  20   0  380884   1856   1480 S   0.0   0.0   0:00.00 gvfsd-f+
   1807 sahilch+  20   0  380884   1856   1480 S   0.0   0.0   0:00.00 gmain
   1808 sahilch+  20   0  380884   1856   1480 S   0.0   0.0   0:00.00 gdbus
   1809 sahilch+  20   0  380884   1856   1480 S   0.0   0.0   0:00.00 gvfs-fu+
   1812 sahilch+  20   0  471824   1828   1176 S   0.0   0.0   0:00.13 xdg-doc+
   1813 sahilch+  20   0  471824   1828   1176 S   0.0   0.0   0:00.00 gmain
   1814 sahilch+  20   0  471824   1828   1176 S   0.0   0.0   0:00.37 gdbus
   1820 sahilch+  20   0  471824   1828   1176 S   0.0   0.0   0:00.00 fuse ma+
   1822 sahilch+  20   0  471824   1828   1176 S   0.0   0.0   0:00.00 fuse ma+
   1823 sahilch+  20   0  471824   1828   1176 S   0.0   0.0   0:00.00 fuse ma+
   1815 sahilch+  20   0  244796   1088    692 S   0.0   0.0   0:00.00 xdg-per+
   1816 sahilch+  20   0  244796   1088    692 S   0.0   0.0   0:00.00 gmain
   1818 sahilch+  20   0  244796   1088    692 S   0.0   0.0   0:00.00 gdbus
   1821 root      20   0    2792     92      0 S   0.0   0.0   0:00.00 fusermo+
   1836 sahilch+  20   0  249648   2484   1932 S   0.0   0.0   0:00.14 gnome-k+
   1837 sahilch+  20   0  249648   2484   1932 S   0.0   0.0   0:00.00 gmain
   1838 sahilch+  20   0  249648   2484   1932 S   0.0   0.0   0:00.42 gdbus
   2084 sahilch+  20   0  249648   2484   1932 S   0.0   0.0   0:00.00 timer
   1840 sahilch+  39  19  642124   9620   2856 S   0.0   0.1   0:00.25 tracker+
   1841 sahilch+  39  19  642124   9620   2856 S   0.0   0.1   0:00.00 gmain
   1842 sahilch+  39  19  642124   9620   2856 S   0.0   0.1   0:00.05 gdbus
   1843 sahilch+  39  19  642124   9620   2856 S   0.0   0.1   0:00.00 dconf w+
   1847 sahilch+  39  19  642124   9620   2856 S   0.0   0.1   0:00.24 pool-tr+
   1934 sahilch+  39  19  642124   9620   2856 S   0.0   0.1   0:00.00 Monitor+
   1849 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   1850 sahilch+  20   0  171076   1844   1676 S   0.0   0.0   0:00.00 gdm-x-s+
   1851 sahilch+  20   0  171076   1844   1676 S   0.0   0.0   0:00.00 gmain
   1956 sahilch+  20   0  171076   1844   1676 S   0.0   0.0   0:00.00 gdbus
   1852 sahilch+  20   0 2052816  75472  42112 S   0.0   1.0   6:27.73 Xorg
   1859 sahilch+  39  19 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:di+
   1860 sahilch+  20   0 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:sh0
   1861 sahilch+  20   0 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:sh1
   1862 sahilch+  20   0 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:sh2
   1863 sahilch+  20   0 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:sh3
   1864 sahilch+  20   0 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:sh4
   1865 sahilch+  20   0 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:sh5
   1866 sahilch+  20   0 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:sh6
   1867 sahilch+  20   0 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:sh7
   1868 sahilch+  20   0 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:sh8
   1869 sahilch+  20   0 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:gd+
   1882 sahilch+  39  19 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:di+
   1883 sahilch+  20   0 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:sh0
   1884 sahilch+  20   0 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:sh1
   1885 sahilch+  20   0 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:sh2
   1886 sahilch+  20   0 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:sh3
   1887 sahilch+  20   0 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:sh4
   1888 sahilch+  20   0 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:sh5
   1889 sahilch+  20   0 2052816  75472  42112 S   0.0   1.0   0:00.00 Xorg:sh6
